会話ID,話者ID,話者ラベル,話者ID改,音声ファイル名
C001_001,C001,IC01_玲子,C001_000,C001_001_IC01.wav
C001_001,C001_001,IC02_夏樹,C001_001,C001_001_IC02.wav
C001_001,C001_002,IC04_美沙,C001_002,C001_001_IC04.wav
C001_001,C001_003,IC03_可奈子,C001_003,C001_001_IC03.wav
C001_001,C001_004,IC05_美香,C001_004,C001_001_IC05.wav
C001_001,C001_010,Z10A_店員,C001_010,--
C001_002,C001,IC01_玲子,C001_000,C001_002_IC01.wav
C001_002,C001_002,IC02_美沙,C001_002,C001_002_IC02.wav
C001_003,C001,IC01_玲子,C001_000,C001_003_IC01.wav
C001_003,C001_001,IC02_夏樹,C001_001,C001_003_IC02.wav
C001_004,C001,IC01_玲子,C001_000,C001_004_IC01.wav
C001_004,C001_005,IC02_辰嶋,C001_005,C001_004_IC02.wav
C001_004,C001_011,Z10A_店員,C001_011,--
C001_005,C001,IC04_玲子,C001_000,C001_005_IC04.wav
C001_005,C001_007,IC05_母,C001_007,C001_005_IC05.wav
C001_006,C001,IC04_玲子,C001_000,C001_006_IC04.wav
C001_006,C001_007,IC05_母,C001_007,C001_006_IC05.wav
C001_007,C001,IC03_玲子,C001_000,C001_007_IC03.wav
C001_007,C001_006,IC04_父,C001_006,C001_007_IC04.wav
C001_007,C001_007,IC05_母,C001_007,C001_007_IC05.wav
C001_012,C001,IC05_玲子,C001_000,C001_012_IC05.wav
C001_012,C001_005,IC04_辰嶋,C001_005,C001_012_IC04.wav
C001_013,C001,IC05_玲子,C001_000,C001_013_IC05.wav
C001_013,C001_005,IC04_辰嶋,C001_005,C001_013_IC04.wav
C002_003,C002,IC01_日野,C002_000,C002_003_IC01.wav
C002_003,C002_001,IC02_智也,C002_001,C002_003_IC02.wav
C002_004,C002,IC01_日野,C002_000,C002_004_IC01.wav
C002_004,C002_002,IC03_正和,C002_002,C002_004_IC03.wav
C002_005,C002,IC01_日野,C002_000,C002_005_IC01.wav
C002_005,C002_001,IC02_智也,C002_001,C002_005_IC02.wav
C002_006a,C002,IC01_日野,C002_000,C002_006a_IC01.wav
C002_006a,C002_003,IC03_美佳,C002_003,C002_006a_IC03.wav
C002_006a,C002_004,IC02_遥,C002_004,C002_006a_IC02.wav
C002_006a,C002_005,N101_水野,C002_005,--
C002_006b,C002,IC01_日野,C002_000,C002_006b_IC01.wav
C002_006b,C002_003,IC03_美佳,C002_003,C002_006b_IC03.wav
C002_006b,C002_004,IC02_遥,C002_004,C002_006b_IC02.wav
C002_006b,C002_005,N101_水野,C002_005,--
C002_006c,C002,IC01_日野,C002_000,C002_006c_IC01.wav
