,speaker_id,total_num_utterances,total_duration_in_sec,average_utterance_duration,count_mora,mora_per_utterance,count_bunsetsu,bunsetsu_per_utterance,count_disfluency,count_filler,count_mask,count_sp
C001_000,C001_000,3694,6202.582000000002,1.67909637249594,41906,11.344342176502437,7558,2.0460205739036277,202,680,131,575
C001_001,C001_001,933,1777.1119999999971,1.9047288317256132,10568,11.32690246516613,1751,1.8767416934619507,161,151,39,248
C001_002,C001_002,795,1626.4860000000012,2.045894339622643,10498,13.20503144654088,1921,2.4163522012578618,90,296,16,261
C001_003,C001_003,188,253.2829999999989,1.3472499999999943,1693,9.00531914893617,277,1.4734042553191489,13,22,7,23
C001_004,C001_004,401,568.6339999999977,1.4180399002493709,3710,9.251870324189527,652,1.625935162094763,43,16,16,74
C001_005,C001_005,1360,2055.1239999999934,1.5111205882352894,18217,13.39485294117647,3033,2.2301470588235293,139,316,80,263
C001_006,C001_006,295,365.2159999999998,1.2380203389830502,2389,8.098305084745762,357,1.2101694915254237,27,16,15,31
C001_007,C001_007,881,1233.997999999995,1.4006787741203122,8741,9.921679909194097,1452,1.6481271282633372,107,40,29,162
C002_000,C002_000,3262,6118.973000000004,1.875834763948499,47965,14.704169221336603,8200,2.5137952176578784,534,352,97,669
C002_001,C002_001,338,454.2790000000002,1.3440207100591723,4135,12.233727810650887,686,2.029585798816568,46,61,23,57
C002_002,C002_002,632,590.21,0.933876582278481,5177,8.191455696202532,747,1.1819620253164558,38,63,4,53
C002_003,C002_003,355,497.8909999999995,1.402509859154928,2400,6.76056338028169,392,1.1042253521126761,15,11,18,65
C002_004,C002_004,371,724.9540000000002,1.9540539083557957,4750,12.803234501347708,930,2.5067385444743935,52,44,28,151
C002_006,C002_006,480,750.6430000000017,1.563839583333337,4360,9.083333333333334,718,1.4958333333333333,69,21,14,37
C002_008,C002_008,217,337.7679999999991,1.5565345622119775,2451,11.294930875576037,411,1.8940092165898617,44,36,0,36
C002_009,C002_009,772,1377.1389999999972,1.7838588082901519,9044,11.715025906735752,1674,2.16839378238342,43,53,1,168
C002_010,C002_010,602,1170.1020000000012,1.9436910299003343,7042,11.69767441860465,1207,2.004983388704319,106,30,3,127
C002_011,C002_011,686,947.2520000000079,1.380833819241994,5580,8.13411078717201,899,1.3104956268221575,30,42,15,109
K001_000,K001_000,4319,6796.843000000001,1.5737075711970365,43029,9.962722852512156,6726,1.5573049316971521,351,211,139,936
K001_003,K001_003,783,1523.1760000000013,1.9453077905491716,10351,13.219667943805876,2073,2.6475095785440614,84,164,45,244
K001_004,K001_004,1115,1517.0860000000011,1.3606152466367722,9646,8.651121076233183,1609,1.4430493273542602,75,107,27,177
K001_005,K001_005,187,396.77100000000064,2.1217700534759394,2598,13.893048128342246,547,2.9251336898395723,48,23,11,39
K001_009,K001_009,255,416.61399999999946,1.6337803921568606,2741,10.749019607843136,415,1.6274509803921569,28,12,9,35
K001_010,K001_010,177,242.05199999999974,1.3675254237288121,1903,10.751412429378531,286,1.615819209039548,7,14,6,41
K001_011,K001_011,394,720.8419999999996,1.829548223350253,6174,15.67005076142132,1035,2.6269035532994924,50,28,36,110
K001_012,K001_012,412,516.7620000000007,1.254276699029128,4019,9.754854368932039,642,1.558252427184466,30,24,8,49
K001_013,K001_013,978,1393.4399999999969,1.4247852760736164,10014,10.239263803680982,1519,1.5531697341513293,123,24,7,141
K001_014,K001_014,347,586.0000000000014,1.6887608069164304,2250,6.484149855907781,339,0.9769452449567724,3,10,2,61
K001_015,K001_015,191,442.20000000000095,2.3151832460733033,2077,10.87434554973822,315,1.649214659685864,14,12,3,38
K001_016,K001_016,86,129.39700000000022,1.50461627906977,776,9.023255813953488,114,1.3255813953488371,4,15,8,10
K001_018,K001_018,504,661.2479999999996,1.3119999999999992,5591,11.093253968253968,900,1.7857142857142858,44,22,13,79
K001_021,K001_021,189,189.99100000000087,1.005243386243391,955,5.052910052910053,100,0.5291005291005291,10,2,2,17
K002_000,K002_000,3639,6054.234000000007,1.6637081615828544,51595,14.178345699367958,9211,2.5311898873316845,489,442,365,923
K002_003,K002_003,508,771.643,1.518982283464567,5404,10.637795275590552,889,1.75,34,130,65,69
K002_004,K002_004,507,906.2850000000003,1.7875443786982255,6964,13.735700197238659,1159,2.2859960552268244,52,71,13,127
K002_005,K002_005,306,520.5789999999989,1.7012385620914998,3218,10.516339869281046,491,1.6045751633986929,26,83,1,81
K002_006,K002_006,222,168.9520000000016,0.7610450450450522,943,4.247747747747748,98,0.44144144144144143,8,0,0,17
K002_007,K002_007,643,1128.1450000000023,1.7545023328149336,8997,13.992223950233281,1504,2.339035769828927,63,119,22,135
K002_008,K002_008,809,1167.8399999999986,1.4435599505562404,7794,9.634116192830655,1340,1.6563658838071693,142,156,71,92
K002_009,K002_009,502,911.0939999999979,1.8149282868525853,7403,14.747011952191235,1254,2.49800796812749,54,145,11,150
K002_011,K002_011,537,699.8840000000009,1.3033221601489775,5365,9.990689013035382,914,1.702048417132216,49,92,31,100
K002_015,K002_015,698,868.8049999999978,1.2447063037249253,7128,10.212034383954155,1162,1.664756446991404,75,221,41,145
K002_016,K002_016,185,219.74299999999886,1.1877999999999937,1499,8.102702702702702,223,1.2054054054054053,19,22,4,30
K003_000,K003_000,3649,6406.185000000003,1.7556001644286114,49836,13.657440394628665,9057,2.482049876678542,222,362,230,669
K003_001,K003_001,315,375.92099999999994,1.1933999999999998,1960,6.222222222222222,284,0.9015873015873016,5,2,5,59
K003_003,K003_003,553,828.9409999999998,1.4989891500904156,5852,10.582278481012658,996,1.8010849909584086,38,103,39,111
K003_004,K003_004,958,1752.608000000004,1.82944467640919,13003,13.573068893528184,2392,2.4968684759916493,95,110,15,272
K003_005,K003_005,485,605.1800000000007,1.2477938144329912,4772,9.83917525773196,761,1.5690721649484536,35,15,20,80
K003_006,K003_006,342,710.1360000000005,2.0764210526315807,5461,15.967836257309942,1042,3.046783625730994,17,10,14,87
K003_007,K003_007,414,434.2720000000004,1.0489661835748803,4013,9.693236714975846,588,1.4202898550724639,14,39,23,46
K003_008,K003_008,652,1131.2460000000008,1.7350398773006146,8027,12.311349693251534,1346,2.0644171779141103,56,81,22,143
K004_000,K004_000,3999,7152.477000000001,1.7885663915978998,44350,11.090272568142035,7621,1.905726431607902,265,470,235,725
